,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
336,nemuro,43.3236,145.575,42.8,31,20,14.97,JP,1619410455
337,kathu,7.9178,98.3332,86.0,74,40,6.91,TH,1619410372
338,boden,65.8252,21.6886,28.4,69,0,11.5,SE,1619410714
339,mount gambier,-37.8333,140.7667,59.0,77,90,8.05,AU,1619410320
340,poykovskiy,61.2333,73.3333,48.2,34,0,11.18,RU,1619410715
341,nizhniy kuranakh,58.8353,125.4869,39.56,90,100,7.27,RU,1619410715
342,isangel,-19.55,169.2667,82.4,74,75,11.5,VU,1619410543
343,marsa matruh,31.3525,27.2453,66.2,68,40,12.66,EG,1619410524
344,doha,25.2867,51.5333,87.8,42,50,4.61,QA,1619410540
345,college,64.8569,-147.8028,64.4,19,20,2.53,US,1619410716
346,clocolan,-28.9137,27.5656,45.54,27,86,2.91,ZA,1619410716
347,nurota,40.5614,65.6886,71.6,30,2,9.22,UZ,1619410717
348,winona,43.9666,-91.7668,46.0,61,90,10.36,US,1619410717
349,ambon,-3.6954,128.1814,87.8,66,40,6.91,ID,1619410718
350,touros,-5.1989,-35.4608,75.2,94,20,4.61,BR,1619410558
351,sayyan,15.1718,44.3244,61.43,44,93,3.71,YE,1619410718
352,camargo,27.6667,-105.1667,76.01,8,100,15.23,MX,1619410719
353,athabasca,54.7169,-113.2854,39.2,47,100,1.14,CA,1619410719
354,ambatofinandrahana,-20.55,46.8,58.3,91,100,3.71,MG,1619410719
355,shimoda,34.6667,138.95,59.0,38,20,14.97,JP,1619410720
356,inta,66.0317,60.1659,42.93,71,100,18.21,RU,1619410720
357,coos bay,43.3665,-124.2179,48.2,87,90,3.44,US,1619410721
358,bambous virieux,-20.3428,57.7575,77.0,88,75,14.97,MU,1619410422
359,nusaybin,37.0778,41.2178,75.2,23,40,13.8,TR,1619410721
360,sarkikaraagac,38.0794,31.3664,48.0,90,57,4.83,TR,1619410722
361,mopipi,-21.1833,24.8833,61.0,31,0,8.25,BW,1619410722
362,oer-erkenschwick,51.6333,7.25,37.0,72,59,4.0,DE,1619410722
363,okakarara,-20.5833,17.4333,55.62,37,0,4.36,NA,1619410723
364,sakakah,29.9697,40.2064,73.4,25,0,6.91,SA,1619410695
365,ponta delgada,37.7333,-25.6667,57.2,88,75,11.5,PT,1619410662
